name,community,,Total:,  Male:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,  Female:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over
,,Margin of Error,*****,+/-101,+/-76,"+/-1,268","+/-1,268",+/-54,+/-95,"+/-1,215","+/-1,108","+/-1,408",+/-88,+/-134,"+/-1,283","+/-1,283",*****,*****,+/-914,+/-766,+/-807,+/-627,+/-669,+/-755,+/-573,+/-523,+/-565,+/-101,+/-74,"+/-1,207","+/-1,207",+/-54,+/-81,+/-993,+/-936,"+/-1,125",+/-117,*****,"+/-1,168","+/-1,168",*****,*****,"+/-1,035",+/-912,+/-881,+/-635,+/-777,+/-647,+/-757,+/-712,+/-706
"Long Beach city, California",Long Beach,Estimate,462197,228161,17013,15484,17097,10673,7661,4095,4285,11782,18981,16312,17360,16424,16017,14726,11523,4467,5835,2963,3592,4266,2890,2748,1967,234036,17514,14813,15876,10755,7482,3563,3576,11084,20251,17393,17218,16897,16204,15205,12470,4693,5579,2672,3996,4605,4226,3717,4247
,,Margin of Error,+/-82,"+/-2,164","+/-1,063",+/-845,+/-880,+/-655,+/-661,+/-509,+/-530,+/-767,"+/-1,006",+/-791,+/-975,+/-864,+/-752,+/-789,+/-667,+/-411,+/-494,+/-373,+/-410,+/-415,+/-323,+/-328,+/-271,"+/-2,156",+/-934,+/-848,+/-983,+/-688,+/-592,+/-437,+/-445,+/-826,+/-849,+/-810,+/-795,+/-871,+/-951,+/-731,+/-709,+/-474,+/-501,+/-290,+/-429,+/-361,+/-388,+/-425,+/-463
"San Jose-Sunnyvale-Santa Clara, CA Metro Area; California",San Jose,Estimate,1817627,912724,66120,61689,61149,37204,24238,11745,12247,37540,70919,71361,73776,72350,72038,63836,50842,17953,21523,11967,15985,21035,15635,12468,9104,904903,62855,60542,56609,35369,21556,10737,10709,33151,66181,68024,73039,67958,68535,62559,52733,18741,24049,14191,18335,24566,20772,16275,17417
,,Margin of Error,*****,+/-192,+/-145,"+/-1,464","+/-1,461",+/-127,+/-90,+/-887,+/-715,"+/-1,010",+/-53,+/-48,"+/-1,374","+/-1,366",+/-42,+/-68,+/-960,+/-816,+/-749,+/-582,+/-661,+/-687,+/-571,+/-551,+/-524,+/-192,+/-129,"+/-1,312","+/-1,311",+/-106,+/-89,+/-735,+/-721,+/-941,+/-77,+/-48,"+/-1,554","+/-1,541",+/-50,+/-83,+/-910,+/-762,+/-760,+/-613,+/-708,+/-729,+/-718,+/-627,+/-694
"Boulder, CO Metro Area; Colorado",Boulder,Estimate,293205,147266,8505,9282,8693,5468,6657,3785,3982,8583,10318,9934,9980,10802,10933,10848,9510,3763,3703,2180,2367,3003,2236,1411,1323,145939,8151,8685,8461,5179,6440,2822,3280,7904,9248,9395,10330,10274,11200,11360,10055,3083,3951,2110,2692,3606,2883,2025,2805
,,Margin of Error,*****,+/-148,+/-38,+/-381,+/-393,+/-57,+/-174,+/-534,+/-459,+/-592,+/-65,+/-87,+/-485,+/-465,+/-42,+/-35,+/-449,+/-352,+/-277,+/-274,+/-243,+/-291,+/-205,+/-162,+/-160,+/-148,+/-59,+/-369,+/-370,+/-57,+/-173,+/-512,+/-476,+/-598,+/-48,+/-84,+/-457,+/-441,+/-47,+/-65,+/-346,+/-273,+/-289,+/-265,+/-274,+/-288,+/-248,+/-252,+/-238
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",Bradenton,Estimate,699700,336370,17008,15772,19978,11732,7213,3562,3125,9264,16324,15801,17634,20192,22611,22952,22553,9210,14955,9991,13613,20812,17700,14031,10337,363330,16345,16506,17992,11299,6383,3390,3241,8759,15916,15643,18251,20954,24000,25601,26340,11292,17646,11754,15525,23004,19176,17870,16443
,,Margin of Error,*****,+/-176,+/-125,+/-723,+/-722,+/-89,+/-107,+/-406,+/-475,+/-524,+/-109,+/-170,+/-889,+/-861,+/-97,+/-114,+/-704,+/-615,+/-651,+/-614,+/-560,+/-714,+/-651,+/-687,+/-617,+/-176,+/-123,+/-695,+/-711,+/-125,+/-64,+/-420,+/-401,+/-460,+/-152,+/-113,+/-821,+/-828,+/-66,+/-144,+/-815,+/-677,+/-767,+/-731,+/-717,+/-816,+/-724,+/-745,+/-704
"Tallahassee, FL Metro Area; Florida",Tallahassee,Estimate,364192,176328,10579,10443,10226,6389,9115,6300,6299,12109,14346,10950,10204,10992,11411,11422,10568,3972,5144,2610,3275,3782,2632,2098,1462,187864,10243,10129,9783,6176,11796,6566,6280,13549,13394,11106,10763,10825,12256,12591,11778,4002,5477,2953,3669,4559,3880,3041,3048
