name,community,,Total:,  Less than high school graduate:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  High school graduate:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  Some college or associate's degree:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  Bachelor's degree or higher:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force
,,Margin of Error,+/-696,+/-876,+/-661,+/-66,+/-652,+/-537,+/-266,+/-609,"+/-1,164",+/-998,+/-279,+/-986,+/-971,+/-406,+/-796,"+/-1,148","+/-1,024",+/-401,"+/-1,014","+/-1,041",+/-316,+/-601,"+/-1,039","+/-1,000",+/-321,+/-901,+/-899,+/-247,+/-426
"Macon, GA Metro Area; Georgia",Macon,Estimate,121069,19187,9153,0,9153,7314,1839,10034,40926,27895,30,27865,25306,2559,13031,35040,27448,64,27384,25453,1931,7592,25916,21157,70,21087,20588,499,4759
,,Margin of Error,+/-372,"+/-1,192",+/-870,+/-98,+/-870,+/-724,+/-351,+/-750,"+/-1,513","+/-1,393",+/-30,"+/-1,385","+/-1,278",+/-435,+/-939,"+/-1,057","+/-1,000",+/-56,+/-999,+/-996,+/-378,+/-640,"+/-1,078",+/-979,+/-55,+/-970,+/-944,+/-155,+/-453
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,27977,4740,1403,0,1403,1196,207,3337,10993,6416,5,6411,5772,639,4577,7175,4740,5,4735,4404,331,2435,5069,4038,0,4038,3885,153,1031
,,Margin of Error,+/-173,+/-413,+/-288,+/-98,+/-288,+/-295,+/-102,+/-374,+/-683,+/-629,+/-10,+/-630,+/-588,+/-200,+/-469,+/-648,+/-547,+/-10,+/-545,+/-507,+/-166,+/-371,+/-551,+/-470,+/-98,+/-470,+/-469,+/-111,+/-232
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,215373,20331,12220,0,12220,10163,2057,8111,65642,51112,26,51086,46197,4889,14530,72956,60771,156,60615,56217,4398,12185,56444,49649,53,49596,48151,1445,6795
,,Margin of Error,+/-165,+/-914,+/-740,+/-89,+/-740,+/-684,+/-276,+/-536,"+/-1,690","+/-1,485",+/-41,"+/-1,482","+/-1,370",+/-498,+/-785,"+/-1,470","+/-1,398",+/-87,"+/-1,408","+/-1,342",+/-449,+/-675,"+/-1,468","+/-1,453",+/-43,"+/-1,451","+/-1,417",+/-275,+/-408
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,317354,31331,20923,8,20915,18217,2698,10408,84758,65345,165,65180,59532,5648,19413,109529,90809,1209,89600,84149,5451,18720,91736,80841,782,80059,77622,2437,10895
,,Margin of Error,+/-354,"+/-1,261",+/-993,+/-12,+/-993,+/-953,+/-379,+/-853,"+/-2,155","+/-1,783",+/-81,"+/-1,775","+/-1,704",+/-604,+/-983,"+/-1,799","+/-1,641",+/-253,"+/-1,595","+/-1,518",+/-610,"+/-1,022","+/-1,816","+/-1,679",+/-220,"+/-1,635","+/-1,624",+/-266,+/-655
"Lexington-Fayette, KY Metro Area; Kentucky",Lexington,Estimate,252446,26801,16448,0,16448,14012,2436,10353,62369,45893,72,45821,41886,3935,16476,73507,60253,66,60187,56426,3761,13254,89769,77447,115,77332,74862,2470,12322
,,Margin of Error,+/-352,"+/-1,246","+/-1,044",+/-89,"+/-1,044",+/-957,+/-404,+/-729,"+/-1,647","+/-1,518",+/-74,"+/-1,526","+/-1,414",+/-511,+/-865,"+/-1,642","+/-1,552",+/-53,"+/-1,561","+/-1,472",+/-405,+/-770,"+/-1,805","+/-1,611",+/-95,"+/-1,601","+/-1,524",+/-348,+/-831
"Detroit-Warren-Livonia, MI Metro Area; Michigan",Detroit,Estimate,2330397,225941,122857,1,122856,91383,31473,103084,628096,446120,178,445942,375206,70736,181976,788256,619995,980,619015,547450,71565,168261,688104,588671,485,588186,556426,31760,99433
,,Margin of Error,+/-308,"+/-3,519","+/-2,641",+/-14,"+/-2,646","+/-2,174","+/-1,210","+/-2,299","+/-5,237","+/-3,959",+/-76,"+/-3,962","+/-3,507","+/-2,046","+/-2,857","+/-4,731","+/-4,558",+/-213,"+/-4,524","+/-4,625","+/-1,593","+/-2,762","+/-4,642","+/-4,606",+/-139,"+/-4,628","+/-4,641","+/-1,004","+/-1,799"
"Duluth, MN-WI Metro Area (part); Minnesota",Duluth,Estimate,121911,6058,3405,0,3405,2947,458,2653,33720,23683,12,23671,21430,2241,10037,49457,39113,164,38949,36299,2650,10344,32676,28079,78,28001,27260,741,4597
,,Margin of Error,+/-241,+/-494,+/-350,+/-69,+/-350,+/-334,+/-121,+/-306,+/-809,+/-717,+/-19,+/-715,+/-724,+/-236,+/-443,+/-972,+/-926,+/-84,+/-937,+/-970,+/-304,+/-574,+/-845,+/-762,+/-53,+/-759,+/-734,+/-145,+/-338
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",St. Paul,Estimate,1732194,106994,71776,0,71776,61514,10262,35218,366213,294622,101,294521,270871,23650,71591,557613,482597,586,482011,450961,31050,75016,701374,625602,480,625122,603544,21578,75772
,,Margin of Error,+/-430,"+/-2,452","+/-1,921",+/-69,"+/-1,921","+/-1,826",+/-731,"+/-1,315","+/-3,743","+/-3,347",+/-78,"+/-3,346","+/-3,207",+/-961,"+/-1,664","+/-4,838","+/-4,691",+/-178,"+/-4,671","+/-4,505","+/-1,294","+/-1,554","+/-5,755","+/-5,163",+/-161,"+/-5,153","+/-5,050","+/-1,214","+/-1,703"
"Gulfport-Biloxi, MS Metro Area; Mississippi",Biloxi,Estimate,130572,19630,12039,67,11972,10289,1683,7591,36187,26063,486,25577,23243,2334,10124,47451,37569,1791,35778,33269,2509,9882,27304,23090,760,22330,21823,507,4214
,,Margin of Error,+/-312,"+/-1,090",+/-910,+/-69,+/-910,+/-864,+/-378,+/-648,"+/-1,437","+/-1,214",+/-147,"+/-1,181","+/-1,194",+/-384,+/-748,"+/-1,421","+/-1,356",+/-328,"+/-1,305","+/-1,294",+/-421,+/-799,"+/-1,199","+/-1,094",+/-189,"+/-1,054","+/-1,035",+/-176,+/-495
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina",Charlotte,Estimate,834617,94826,63606,17,63589,52901,10688,31220,188753,148478,190,148288,131147,17141,40275,253455,211409,392,211017,192030,18987,42046,297583,259674,298,259376,248663,10713,37909
,,Margin of Error,+/-327,"+/-2,734","+/-2,126",+/-29,"+/-2,127","+/-2,075",+/-875,"+/-1,482","+/-3,419","+/-3,052",+/-96,"+/-3,035","+/-2,850","+/-1,014","+/-1,581","+/-3,471","+/-3,669",+/-166,"+/-3,659","+/-3,450","+/-1,084","+/-1,513","+/-3,916","+/-3,432",+/-125,"+/-3,407","+/-3,568",+/-879,"+/-1,439"
"Grand Forks, ND-MN Metro Area (part); North Dakota",Grand Forks,Estimate,31432,1353,1020,0,1020,929,91,333,6952,5752,58,5694,5348,346,1200,11843,10213,425,9788,9268,520,1630,11284,10032,130,9902,9768,134,1252
,,Margin of Error,+/-253,+/-238,+/-216,+/-69,+/-216,+/-187,+/-73,+/-102,+/-509,+/-498,+/-41,+/-494,+/-457,+/-147,+/-212,+/-578,+/-582,+/-108,+/-560,+/-569,+/-164,+/-261,+/-546,+/-508,+/-61,+/-499,+/-496,+/-80,+/-204
"Akron, OH Metro Area; Ohio",Akron,Estimate,371669,27402,16259,0,16259,12820,3439,11143,120183,94027,59,93968,85119,8849,26156,110465,91591,146,91445,83717,7728,18874,113619,98504,76,98428,95025,3403,15115
,,Margin of Error,+/-286,"+/-1,265",+/-920,+/-89,+/-920,+/-750,+/-416,+/-728,"+/-1,866","+/-1,808",+/-79,"+/-1,804","+/-1,743",+/-682,"+/-1,047","+/-1,786","+/-1,777",+/-79,"+/-1,773","+/-1,654",+/-563,+/-966,"+/-1,596","+/-1,682",+/-62,"+/-1,681","+/-1,652",+/-404,+/-780
"State College, PA Metro Area; Pennsylvania",State College,Estimate,66225,3661,1903,0,1903,1709,194,1758,20575,15774,31,15743,15136,607,4801,14029,11394,36,11358,10781,577,2635,27960,24168,32,24136,23499,637,3792
,,Margin of Error,+/-190,+/-421,+/-282,+/-81,+/-282,+/-275,+/-75,+/-296,+/-803,+/-707,+/-27,+/-708,+/-701,+/-151,+/-348,+/-813,+/-671,+/-38,+/-666,+/-610,+/-161,+/-342,+/-758,+/-789,+/-34,+/-796,+/-828,+/-160,+/-406
"Columbia, SC Metro Area; South Carolina",Columbia,Estimate,402871,42668,25065,4,25061,21054,4007,17603,104626,78402,765,77637,70205,7432,26224,128999,104629,3921,100708,93288,7420,24370,126578,110653,1860,108793,105032,3761,15925
,,Margin of Error,+/-374,"+/-1,465","+/-1,187",+/-6,"+/-1,187","+/-1,131",+/-533,"+/-1,037","+/-1,883","+/-1,906",+/-218,"+/-1,914","+/-1,718",+/-637,"+/-1,187","+/-2,305","+/-2,188",+/-463,"+/-2,106","+/-1,961",+/-686,"+/-1,268","+/-2,111","+/-2,097",+/-306,"+/-2,113","+/-2,098",+/-420,+/-836
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area; South Carolina",Myrtle Beach,Estimate,141846,16344,10384,0,10384,8563,1821,5960,47277,34669,54,34615,31242,3373,12608,46230,36414,54,36360,33532,2828,9816,31995,26160,8,26152,24781,1371,5835
,,Margin of Error,+/-211,+/-921,+/-795,+/-98,+/-795,+/-804,+/-357,+/-540,"+/-1,713","+/-1,395",+/-48,"+/-1,399","+/-1,377",+/-439,+/-887,"+/-1,433","+/-1,452",+/-55,"+/-1,457","+/-1,444",+/-448,+/-745,"+/-1,273","+/-1,062",+/-13,"+/-1,061","+/-1,056",+/-292,+/-583
"Aberdeen, SD Micro Area; South Dakota",Aberdeen,Estimate,19960,908,462,0,462,443,19,446,6170,5161,0,5161,4979,182,1009,7317,6624,9,6615,6566,49,693,5565,4983,30,4953,4835,118,582
,,Margin of Error,+/-176,+/-206,+/-124,+/-74,+/-124,+/-123,+/-19,+/-177,+/-443,+/-390,+/-74,+/-390,+/-380,+/-91,+/-191,+/-418,+/-428,+/-12,+/-428,+/-428,+/-34,+/-129,+/-423,+/-394,+/-43,+/-395,+/-392,+/-69,+/-156
